district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
103,"State House District 103 (2024), Pennsylvania",620L900US42103,64846,50580,62423,48494,48494,1123,2020-2024 ACS CVAP,53,0.11,0.11,1248,2.57,2.57,8354,17.23,17.23,1,0.0,0.0,33056,68.17,68.17,1784,3.68,3.68,4004,8.26,8.26
104,"State House District 104 (2024), Pennsylvania",620L900US42104,64417,49137,59583,44848,44848,1245,2020-2024 ACS CVAP,14,0.03,0.03,2336,5.21,5.21,12163,27.12,27.12,55,0.12,0.12,22339,49.81,49.81,1233,2.75,2.75,6706,14.95,14.95
105,"State House District 105 (2024), Pennsylvania",620L900US42105,65302,50381,61815,47359,47359,1348,2020-2024 ACS CVAP,8,0.02,0.02,3620,7.64,7.64,10085,21.29,21.29,5,0.01,0.01,28895,61.01,61.01,1404,2.96,2.96,3349,7.07,7.07
106,"State House District 106 (2024), Pennsylvania",620L900US42106,67912,53763,65009,51291,51291,983,2020-2024 ACS CVAP,4,0.01,0.01,1885,3.68,3.68,1510,2.94,2.94,0,0.0,0.0,43276,84.37,84.37,1038,2.02,2.02,3573,6.97,6.97
107,"State House District 107 (2024), Pennsylvania",620L900US42107,66931,54497,66646,54230,54230,689,2020-2024 ACS CVAP,6,0.01,0.01,69,0.13,0.13,1696,3.13,3.13,0,0.0,0.0,50351,92.85,92.85,575,1.06,1.06,1531,2.82,2.82
108,"State House District 108 (2024), Pennsylvania",620L900US42108,64481,51012,63470,50169,50169,517,2020-2024 ACS CVAP,13,0.03,0.03,411,0.82,0.82,639,1.27,1.27,1,0.0,0.0,46942,93.57,93.57,428,0.85,0.85,1738,3.46,3.46
109,"State House District 109 (2024), Pennsylvania",620L900US42109,65362,53881,64798,53402,53402,193,2020-2024 ACS CVAP,14,0.03,0.03,336,0.63,0.63,888,1.66,1.66,162,0.3,0.3,49830,93.31,93.31,565,1.06,1.06,1608,3.01,3.01
110,"State House District 110 (2024), Pennsylvania",620L900US42110,63061,50192,62502,49762,49762,468,2020-2024 ACS CVAP,17,0.03,0.03,168,0.34,0.34,221,0.44,0.44,2,0.0,0.0,47862,96.18,96.18,850,1.71,1.71,644,1.29,1.29
111,"State House District 111 (2024), Pennsylvania",620L900US42111,65825,54220,65237,53665,53665,460,2020-2024 ACS CVAP,22,0.04,0.04,200,0.37,0.37,1484,2.77,2.77,1,0.0,0.0,49556,92.34,92.34,591,1.1,1.1,1803,3.36,3.36
112,"State House District 112 (2024), Pennsylvania",620L900US42112,63208,50815,62415,50053,50053,791,2020-2024 ACS CVAP,53,0.11,0.11,312,0.62,0.62,481,0.96,0.96,0,0.0,0.0,46607,93.12,93.12,780,1.56,1.56,1828,3.65,3.65
113,"State House District 113 (2024), Pennsylvania",620L900US42113,60933,48277,56749,45319,45319,1142,2020-2024 ACS CVAP,25,0.06,0.06,1924,4.25,4.25,2526,5.57,5.57,48,0.11,0.11,35314,77.92,77.92,906,2.0,2.0,4585,10.12,10.12
114,"State House District 114 (2024), Pennsylvania",620L900US42114,63635,50164,61591,48468,48468,1178,2020-2024 ACS CVAP,37,0.08,0.08,728,1.5,1.5,1367,2.82,2.82,7,0.01,0.01,42945,88.6,88.6,744,1.54,1.54,2634,5.43,5.43
115,"State House District 115 (2024), Pennsylvania",620L900US42115,62280,50121,59647,47657,47657,1355,2020-2024 ACS CVAP,80,0.17,0.17,1310,2.75,2.75,7394,15.52,15.52,65,0.14,0.14,29170,61.21,61.21,1004,2.11,2.11,8641,18.13,18.13
116,"State House District 116 (2024), Pennsylvania",620L900US42116,65193,50188,55350,41945,41945,1189,2020-2024 ACS CVAP,3,0.01,0.01,128,0.31,0.31,1828,4.36,4.36,22,0.05,0.05,27532,65.64,65.64,604,1.44,1.44,11836,28.22,28.22
117,"State House District 117 (2024), Pennsylvania",620L900US42117,61752,50656,61215,50173,50173,730,2020-2024 ACS CVAP,5,0.01,0.01,405,0.81,0.81,373,0.74,0.74,0,0.0,0.0,46977,93.63,93.63,631,1.26,1.26,1782,3.55,3.55
118,"State House District 118 (2024), Pennsylvania",620L900US42118,62177,49750,60790,48504,48504,779,2020-2024 ACS CVAP,14,0.03,0.03,579,1.19,1.19,751,1.55,1.55,1,0.0,0.0,44215,91.16,91.16,806,1.66,1.66,2138,4.41,4.41
119,"State House District 119 (2024), Pennsylvania",620L900US42119,61557,47457,60319,46410,46410,839,2020-2024 ACS CVAP,1,0.0,0.0,701,1.51,1.51,2103,4.53,4.53,24,0.05,0.05,39825,85.81,85.81,617,1.33,1.33,3139,6.76,6.76
120,"State House District 120 (2024), Pennsylvania",620L900US42120,63344,51904,62715,51363,51363,780,2020-2024 ACS CVAP,5,0.01,0.01,333,0.65,0.65,2153,4.19,4.19,2,0.0,0.0,46003,89.56,89.56,785,1.53,1.53,2081,4.05,4.05
121,"State House District 121 (2024), Pennsylvania",620L900US42121,61670,49026,56680,44496,44496,1106,2020-2024 ACS CVAP,15,0.03,0.03,485,1.09,1.09,3418,7.68,7.68,9,0.02,0.02,33192,74.6,74.6,1068,2.4,2.4,6305,14.17,14.17
122,"State House District 122 (2024), Pennsylvania",620L900US42122,65381,53008,64735,52417,52417,168,2020-2024 ACS CVAP,18,0.03,0.03,285,0.54,0.54,868,1.66,1.66,1,0.0,0.0,47947,91.47,91.47,593,1.13,1.13,2703,5.16,5.16
123,"State House District 123 (2024), Pennsylvania",620L900US42123,65763,53697,65264,53253,53253,698,2020-2024 ACS CVAP,14,0.03,0.03,171,0.32,0.32,1300,2.44,2.44,1,0.0,0.0,48687,91.43,91.43,771,1.45,1.45,2307,4.33,4.33
124,"State House District 124 (2024), Pennsylvania",620L900US42124,66970,54539,66267,53869,53869,924,2020-2024 ACS CVAP,19,0.04,0.04,341,0.63,0.63,1721,3.19,3.19,13,0.02,0.02,48241,89.55,89.55,636,1.18,1.18,2897,5.38,5.38
125,"State House District 125 (2024), Pennsylvania",620L900US42125,64263,50958,63208,49965,49965,1079,2020-2024 ACS CVAP,71,0.14,0.14,980,1.96,1.96,1640,3.28,3.28,0,0.0,0.0,45111,90.29,90.29,1128,2.26,2.26,1038,2.08,2.08
126,"State House District 126 (2024), Pennsylvania",620L900US42126,64648,49262,58940,44440,44440,1027,2020-2024 ACS CVAP,50,0.11,0.11,382,0.86,0.86,2347,5.28,5.28,2,0.0,0.0,26191,58.94,58.94,702,1.58,1.58,14764,33.22,33.22
127,"State House District 127 (2024), Pennsylvania",620L900US42127,59976,44078,52981,38055,38055,1161,2020-2024 ACS CVAP,11,0.03,0.03,237,0.62,0.62,3228,8.48,8.48,0,0.0,0.0,16199,42.57,42.57,764,2.01,2.01,17625,46.31,46.31
128,"State House District 128 (2024), Pennsylvania",620L900US42128,64563,50405,63910,49827,49827,1070,2020-2024 ACS CVAP,31,0.06,0.06,659,1.32,1.32,1447,2.9,2.9,53,0.11,0.11,44829,89.97,89.97,955,1.92,1.92,1847,3.71,3.71
129,"State House District 129 (2024), Pennsylvania",620L900US42129,64972,49108,59875,44557,44557,1408,2020-2024 ACS CVAP,6,0.01,0.01,1125,2.52,2.52,2695,6.05,6.05,0,0.0,0.0,26677,59.87,59.87,808,1.81,1.81,13264,29.77,29.77
130,"State House District 130 (2024), Pennsylvania",620L900US42130,65777,53354,65192,52830,52830,792,2020-2024 ACS CVAP,31,0.06,0.06,514,0.97,0.97,427,0.81,0.81,15,0.03,0.03,48603,92.0,92.0,649,1.23,1.23,2592,4.91,4.91
131,"State House District 131 (2024), Pennsylvania",620L900US42131,66527,52568,65520,51672,51672,739,2020-2024 ACS CVAP,0,0.0,0.0,1246,2.41,2.41,679,1.31,1.31,0,0.0,0.0,47228,91.4,91.4,639,1.24,1.24,1885,3.65,3.65
132,"State House District 132 (2024), Pennsylvania",620L900US42132,65893,52722,62252,49593,49593,1723,2020-2024 ACS CVAP,21,0.04,0.04,2864,5.78,5.78,2562,5.17,5.17,0,0.0,0.0,36593,73.79,73.79,542,1.09,1.09,7007,14.13,14.13
133,"State House District 133 (2024), Pennsylvania",620L900US42133,66008,52946,62840,50119,50119,919,2020-2024 ACS CVAP,6,0.01,0.01,650,1.3,1.3,3313,6.61,6.61,9,0.02,0.02,35764,71.36,71.36,997,1.99,1.99,9380,18.72,18.72
134,"State House District 134 (2024), Pennsylvania",620L900US42134,63999,49529,57728,43750,43750,1650,2020-2024 ACS CVAP,3,0.01,0.01,999,2.28,2.28,3346,7.65,7.65,0,0.0,0.0,23640,54.03,54.03,1236,2.83,2.83,14512,33.17,33.17
135,"State House District 135 (2024), Pennsylvania",620L900US42135,67401,55689,63614,52206,52206,1013,2020-2024 ACS CVAP,17,0.03,0.03,1343,2.57,2.57,3647,6.99,6.99,23,0.04,0.04,34327,65.75,65.75,918,1.76,1.76,11942,22.87,22.87
136,"State House District 136 (2024), Pennsylvania",620L900US42136,64937,51368,62263,48868,48868,851,2020-2024 ACS CVAP,13,0.03,0.03,1116,2.28,2.28,5046,10.33,10.33,25,0.05,0.05,33609,68.78,68.78,1348,2.76,2.76,7721,15.8,15.8
137,"State House District 137 (2024), Pennsylvania",620L900US42137,66937,53754,65056,52084,52084,971,2020-2024 ACS CVAP,0,0.0,0.0,2290,4.4,4.4,2273,4.36,4.36,0,0.0,0.0,41848,80.35,80.35,754,1.45,1.45,4921,9.45,9.45
138,"State House District 138 (2024), Pennsylvania",620L900US42138,66767,53747,65244,52328,52328,850,2020-2024 ACS CVAP,4,0.01,0.01,828,1.58,1.58,1413,2.7,2.7,0,0.0,0.0,46851,89.53,89.53,614,1.17,1.17,2620,5.01,5.01
139,"State House District 139 (2024), Pennsylvania",620L900US42139,65150,54204,64335,53427,53427,610,2020-2024 ACS CVAP,38,0.07,0.07,578,1.08,1.08,966,1.81,1.81,22,0.04,0.04,47580,89.06,89.06,840,1.57,1.57,3401,6.37,6.37
140,"State House District 140 (2024), Pennsylvania",620L900US42140,62318,48962,60347,47183,47183,1275,2020-2024 ACS CVAP,28,0.06,0.06,1167,2.47,2.47,2962,6.28,6.28,0,0.0,0.0,39127,82.93,82.93,996,2.11,2.11,2895,6.14,6.14
141,"State House District 141 (2024), Pennsylvania",620L900US42141,64074,51367,61944,49281,49281,1018,2020-2024 ACS CVAP,2,0.0,0.0,1311,2.66,2.66,4623,9.38,9.38,29,0.06,0.06,36923,74.92,74.92,1758,3.57,3.57,4631,9.4,9.4
142,"State House District 142 (2024), Pennsylvania",620L900US42142,64254,52637,61306,50341,50341,1452,2020-2024 ACS CVAP,85,0.17,0.17,1509,3.0,3.0,2320,4.61,4.61,5,0.01,0.01,44026,87.46,87.46,1093,2.17,2.17,1314,2.61,2.61
143,"State House District 143 (2024), Pennsylvania",620L900US42143,66438,52669,65364,51793,51793,874,2020-2024 ACS CVAP,69,0.13,0.13,866,1.67,1.67,1084,2.09,2.09,0,0.0,0.0,47149,91.03,91.03,570,1.1,1.1,2047,3.95,3.95
144,"State House District 144 (2024), Pennsylvania",620L900US42144,65690,53433,62971,51206,51206,755,2020-2024 ACS CVAP,15,0.03,0.03,1844,3.6,3.6,1641,3.2,3.2,0,0.0,0.0,44845,87.58,87.58,640,1.25,1.25,2214,4.32,4.32
145,"State House District 145 (2024), Pennsylvania",620L900US42145,62804,50857,61389,49597,49597,917,2020-2024 ACS CVAP,7,0.01,0.01,578,1.17,1.17,672,1.35,1.35,17,0.03,0.03,45429,91.6,91.6,818,1.65,1.65,2078,4.19,4.19
146,"State House District 146 (2024), Pennsylvania",620L900US42146,65748,50324,64072,49022,49022,1031,2020-2024 ACS CVAP,0,0.0,0.0,986,2.01,2.01,4962,10.12,10.12,11,0.02,0.02,39449,80.47,80.47,1010,2.06,2.06,2596,5.3,5.3
147,"State House District 147 (2024), Pennsylvania",620L900US42147,67136,52038,66289,51276,51276,883,2020-2024 ACS CVAP,1,0.0,0.0,1197,2.33,2.33,1536,3.0,3.0,0,0.0,0.0,46191,90.08,90.08,933,1.82,1.82,1428,2.78,2.78
148,"State House District 148 (2024), Pennsylvania",620L900US42148,64403,48058,62041,45998,45998,1065,2020-2024 ACS CVAP,8,0.02,0.02,3059,6.65,6.65,2421,5.26,5.26,22,0.05,0.05,38154,82.95,82.95,903,1.96,1.96,1432,3.11,3.11
149,"State House District 149 (2024), Pennsylvania",620L900US42149,65938,53449,61289,49438,49438,1239,2020-2024 ACS CVAP,19,0.04,0.04,4458,9.02,9.02,4012,8.12,8.12,16,0.03,0.03,37508,75.87,75.87,1231,2.49,2.49,2189,4.43,4.43
150,"State House District 150 (2024), Pennsylvania",620L900US42150,64565,52102,60628,48619,48619,1011,2020-2024 ACS CVAP,42,0.09,0.09,3523,7.25,7.25,2539,5.22,5.22,0,0.0,0.0,40550,83.4,83.4,607,1.25,1.25,1355,2.79,2.79
151,"State House District 151 (2024), Pennsylvania",620L900US42151,62932,49514,59638,46456,46456,1368,2020-2024 ACS CVAP,1,0.0,0.0,4196,9.03,9.03,2168,4.67,4.67,0,0.0,0.0,38134,82.09,82.09,586,1.26,1.26,1370,2.95,2.95
152,"State House District 152 (2024), Pennsylvania",620L900US42152,61635,48295,58892,45934,45934,999,2020-2024 ACS CVAP,10,0.02,0.02,2127,4.63,4.63,3982,8.67,8.67,0,0.0,0.0,35891,78.14,78.14,1395,3.04,3.04,2531,5.51,5.51
153,"State House District 153 (2024), Pennsylvania",620L900US42153,62816,49242,60358,47036,47036,1200,2020-2024 ACS CVAP,2,0.0,0.0,2039,4.33,4.33,3873,8.23,8.23,0,0.0,0.0,38428,81.7,81.7,901,1.92,1.92,1791,3.81,3.81
154,"State House District 154 (2024), Pennsylvania",620L900US42154,64102,51449,61432,48994,48994,784,2020-2024 ACS CVAP,26,0.05,0.05,2008,4.1,4.1,13121,26.78,26.78,1,0.0,0.0,30368,61.98,61.98,1099,2.24,2.24,2368,4.83,4.83
155,"State House District 155 (2024), Pennsylvania",620L900US42155,66296,50623,62476,47157,47157,871,2020-2024 ACS CVAP,8,0.02,0.02,3071,6.51,6.51,2236,4.74,4.74,0,0.0,0.0,38511,81.67,81.67,858,1.82,1.82,2485,5.27,5.27
156,"State House District 156 (2024), Pennsylvania",620L900US42156,68991,58269,67461,56815,56815,924,2020-2024 ACS CVAP,12,0.02,0.02,1207,2.12,2.12,3442,6.06,6.06,2,0.0,0.0,48303,85.02,85.02,1160,2.04,2.04,2693,4.74,4.74
157,"State House District 157 (2024), Pennsylvania",620L900US42157,63220,48868,57401,43931,43931,897,2020-2024 ACS CVAP,9,0.02,0.02,3472,7.9,7.9,900,2.05,2.05,1,0.0,0.0,37375,85.08,85.08,666,1.52,1.52,1504,3.42,3.42
158,"State House District 158 (2024), Pennsylvania",620L900US42158,64449,49801,61034,46608,46608,981,2020-2024 ACS CVAP,8,0.02,0.02,1350,2.9,2.9,1702,3.65,3.65,50,0.11,0.11,38677,82.98,82.98,890,1.91,1.91,3936,8.44,8.44
159,"State House District 159 (2024), Pennsylvania",620L900US42159,62616,48580,61001,47284,47284,1201,2020-2024 ACS CVAP,20,0.04,0.04,656,1.39,1.39,21057,44.53,44.53,4,0.01,0.01,21461,45.39,45.39,1042,2.2,2.2,3043,6.44,6.44
160,"State House District 160 (2024), Pennsylvania",620L900US42160,64214,50426,62117,48554,48554,866,2020-2024 ACS CVAP,32,0.07,0.07,3096,6.38,6.38,1959,4.03,4.03,0,0.0,0.0,41329,85.12,85.12,714,1.47,1.47,1424,2.93,2.93
161,"State House District 161 (2024), Pennsylvania",620L900US42161,63757,49565,62917,48779,48779,1046,2020-2024 ACS CVAP,0,0.0,0.0,1638,3.36,3.36,4868,9.98,9.98,0,0.0,0.0,40574,83.18,83.18,764,1.57,1.57,937,1.92,1.92
162,"State House District 162 (2024), Pennsylvania",620L900US42162,64158,49437,61922,47452,47452,1238,2020-2024 ACS CVAP,9,0.02,0.02,875,1.84,1.84,8849,18.65,18.65,2,0.0,0.0,35388,74.58,74.58,958,2.02,2.02,1365,2.88,2.88
163,"State House District 163 (2024), Pennsylvania",620L900US42163,64871,51378,61643,48457,48457,1348,2020-2024 ACS CVAP,29,0.06,0.06,2022,4.17,4.17,12744,26.3,26.3,2,0.0,0.0,30152,62.22,62.22,1248,2.58,2.58,2265,4.67,4.67
164,"State House District 164 (2024), Pennsylvania",620L900US42164,62350,47112,54747,40682,40682,1342,2020-2024 ACS CVAP,67,0.16,0.16,5393,13.26,13.26,18094,44.48,44.48,2,0.0,0.0,14026,34.48,34.48,1216,2.99,2.99,1882,4.63,4.63
165,"State House District 165 (2024), Pennsylvania",620L900US42165,62636,49390,61098,47932,47932,808,2020-2024 ACS CVAP,32,0.07,0.07,2804,5.85,5.85,2028,4.23,4.23,137,0.29,0.29,40951,85.44,85.44,729,1.52,1.52,1268,2.65,2.65
166,"State House District 166 (2024), Pennsylvania",620L900US42166,63535,48105,62311,46901,46901,814,2020-2024 ACS CVAP,1,0.0,0.0,2856,6.09,6.09,1237,2.64,2.64,0,0.0,0.0,40641,86.65,86.65,758,1.62,1.62,1403,2.99,2.99
167,"State House District 167 (2024), Pennsylvania",620L900US42167,65692,50840,59651,45560,45560,1004,2020-2024 ACS CVAP,24,0.05,0.05,3746,8.22,8.22,1829,4.01,4.01,16,0.04,0.04,37483,82.27,82.27,711,1.56,1.56,1747,3.83,3.83
168,"State House District 168 (2024), Pennsylvania",620L900US42168,64322,51767,61821,49845,49845,900,2020-2024 ACS CVAP,0,0.0,0.0,2269,4.55,4.55,2122,4.26,4.26,0,0.0,0.0,42648,85.56,85.56,1116,2.24,2.24,1690,3.39,3.39
169,"State House District 169 (2024), Pennsylvania",620L900US42169,66702,51720,65871,51030,51030,890,2020-2024 ACS CVAP,31,0.06,0.06,425,0.83,0.83,1121,2.2,2.2,75,0.15,0.15,46319,90.77,90.77,747,1.46,1.46,2305,4.52,4.52
170,"State House District 170 (2024), Pennsylvania",620L900US42170,60871,47439,55600,42898,42898,1654,2020-2024 ACS CVAP,28,0.07,0.07,4277,9.97,9.97,3067,7.15,7.15,13,0.03,0.03,32414,75.56,75.56,375,0.87,0.87,2717,6.33,6.33
171,"State House District 171 (2024), Pennsylvania",620L900US42171,65561,50530,65231,50250,50250,540,2020-2024 ACS CVAP,115,0.23,0.23,363,0.72,0.72,239,0.48,0.48,23,0.05,0.05,47964,95.45,95.45,710,1.41,1.41,844,1.68,1.68
172,"State House District 172 (2024), Pennsylvania",620L900US42172,62675,49004,54677,42169,42169,1934,2020-2024 ACS CVAP,0,0.0,0.0,5203,12.34,12.34,4285,10.16,10.16,19,0.05,0.05,27822,65.98,65.98,671,1.59,1.59,4162,9.87,9.87
173,"State House District 173 (2024), Pennsylvania",620L900US42173,59121,45010,54980,41139,41139,2019,2020-2024 ACS CVAP,22,0.05,0.05,2726,6.63,6.63,8448,20.54,20.54,4,0.01,0.01,23678,57.56,57.56,1260,3.06,3.06,5002,12.16,12.16
174,"State House District 174 (2024), Pennsylvania",620L900US42174,61398,47292,54664,42134,42134,2685,2020-2024 ACS CVAP,23,0.05,0.05,4007,9.51,9.51,5809,13.79,13.79,19,0.05,0.05,26594,63.12,63.12,715,1.7,1.7,4965,11.78,11.78
175,"State House District 175 (2024), Pennsylvania",620L900US42175,60012,53839,57289,51118,51118,1640,2020-2024 ACS CVAP,73,0.14,0.14,4651,9.1,9.1,3996,7.82,7.82,23,0.04,0.04,37681,73.71,73.71,1215,2.38,2.38,3480,6.81,6.81
176,"State House District 176 (2024), Pennsylvania",620L900US42176,62509,51894,61207,50701,50701,897,2020-2024 ACS CVAP,55,0.11,0.11,821,1.62,1.62,4205,8.29,8.29,9,0.02,0.02,38706,76.34,76.34,1127,2.22,2.22,5773,11.39,11.39
177,"State House District 177 (2024), Pennsylvania",620L900US42177,61209,46614,58006,43885,43885,2211,2020-2024 ACS CVAP,23,0.05,0.05,1543,3.52,3.52,7449,16.97,16.97,0,0.0,0.0,25837,58.87,58.87,1129,2.57,2.57,7895,17.99,17.99
178,"State House District 178 (2024), Pennsylvania",620L900US42178,65461,51591,64113,50352,50352,783,2020-2024 ACS CVAP,8,0.02,0.02,1851,3.68,3.68,256,0.51,0.51,0,0.0,0.0,46047,91.45,91.45,427,0.85,0.85,1767,3.51,3.51
179,"State House District 179 (2024), Pennsylvania",620L900US42179,61989,43419,56585,38919,38919,2219,2020-2024 ACS CVAP,23,0.06,0.06,2779,7.14,7.14,16869,43.34,43.34,0,0.0,0.0,5972,15.34,15.34,814,2.09,2.09,12457,32.01,32.01
180,"State House District 180 (2024), Pennsylvania",620L900US42180,59618,42215,54578,37822,37822,2721,2020-2024 ACS CVAP,57,0.15,0.15,672,1.78,1.78,7597,20.09,20.09,0,0.0,0.0,6964,18.41,18.41,822,2.17,2.17,21719,57.42,57.42
181,"State House District 181 (2024), Pennsylvania",620L900US42181,58138,49019,53868,45085,45085,2030,2020-2024 ACS CVAP,3,0.01,0.01,3123,6.93,6.93,16765,37.19,37.19,2,0.0,0.0,17587,39.01,39.01,1783,3.95,3.95,5814,12.9,12.9
182,"State House District 182 (2024), Pennsylvania",620L900US42182,60168,54811,56195,51087,51087,1902,2020-2024 ACS CVAP,48,0.09,0.09,4107,8.04,8.04,4339,8.49,8.49,52,0.1,0.1,37974,74.33,74.33,1945,3.81,3.81,2618,5.12,5.12
183,"State House District 183 (2024), Pennsylvania",620L900US42183,66568,53376,65871,52697,52697,819,2020-2024 ACS CVAP,46,0.09,0.09,442,0.84,0.84,584,1.11,1.11,4,0.01,0.01,47217,89.6,89.6,692,1.31,1.31,3725,7.07,7.07
184,"State House District 184 (2024), Pennsylvania",620L900US42184,60651,48186,53600,41887,41887,1821,2020-2024 ACS CVAP,33,0.08,0.08,6499,15.52,15.52,2248,5.37,5.37,0,0.0,0.0,28610,68.3,68.3,891,2.13,2.13,3606,8.61,8.61
185,"State House District 185 (2024), Pennsylvania",620L900US42185,59917,47313,55397,43315,43315,1998,2020-2024 ACS CVAP,85,0.2,0.2,2228,5.14,5.14,20787,47.99,47.99,0,0.0,0.0,17640,40.72,40.72,1169,2.7,2.7,1408,3.25,3.25
186,"State House District 186 (2024), Pennsylvania",620L900US42186,59197,47925,55319,44073,44073,2067,2020-2024 ACS CVAP,75,0.17,0.17,4561,10.35,10.35,18539,42.06,42.06,0,0.0,0.0,17142,38.89,38.89,1330,3.02,3.02,2418,5.49,5.49
187,"State House District 187 (2024), Pennsylvania",620L900US42187,66028,51351,63611,49040,49040,985,2020-2024 ACS CVAP,0,0.0,0.0,1797,3.66,3.66,1491,3.04,3.04,40,0.08,0.08,41506,84.64,84.64,678,1.38,1.38,3522,7.18,7.18
188,"State House District 188 (2024), Pennsylvania",620L900US42188,60351,52621,54435,47014,47014,2207,2020-2024 ACS CVAP,86,0.18,0.18,3405,7.24,7.24,19569,41.62,41.62,1,0.0,0.0,19223,40.89,40.89,2407,5.12,5.12,2321,4.94,4.94
189,"State House District 189 (2024), Pennsylvania",620L900US42189,61850,49106,60162,47550,47550,1023,2020-2024 ACS CVAP,55,0.12,0.12,836,1.76,1.76,7535,15.85,15.85,32,0.07,0.07,30266,63.65,63.65,995,2.09,2.09,7839,16.49,16.49
190,"State House District 190 (2024), Pennsylvania",620L900US42190,61700,49092,59866,47289,47289,2728,2020-2024 ACS CVAP,6,0.01,0.01,592,1.25,1.25,39635,83.81,83.81,41,0.09,0.09,4021,8.5,8.5,1380,2.92,2.92,1613,3.41,3.41
191,"State House District 191 (2024), Pennsylvania",620L900US42191,61173,46238,58022,43783,43783,1926,2020-2024 ACS CVAP,42,0.1,0.1,831,1.9,1.9,37205,84.98,84.98,1,0.0,0.0,3647,8.33,8.33,949,2.17,2.17,1108,2.53,2.53
192,"State House District 192 (2024), Pennsylvania",620L900US42192,64831,48485,62567,46403,46403,2437,2020-2024 ACS CVAP,56,0.12,0.12,465,1.0,1.0,39143,84.35,84.35,0,0.0,0.0,4534,9.77,9.77,1166,2.51,2.51,1041,2.24,2.24
193,"State House District 193 (2024), Pennsylvania",620L900US42193,64707,51041,63670,50014,50014,667,2020-2024 ACS CVAP,6,0.01,0.01,296,0.59,0.59,1121,2.24,2.24,2,0.0,0.0,45650,91.27,91.27,723,1.45,1.45,2210,4.42,4.42
194,"State House District 194 (2024), Pennsylvania",620L900US42194,62891,54294,61456,52873,52873,1796,2020-2024 ACS CVAP,83,0.16,0.16,1750,3.31,3.31,7422,14.04,14.04,15,0.03,0.03,38795,73.37,73.37,1271,2.4,2.4,3538,6.69,6.69
195,"State House District 195 (2024), Pennsylvania",620L900US42195,63263,50311,61133,48270,48270,2445,2020-2024 ACS CVAP,128,0.27,0.27,1307,2.71,2.71,24974,51.74,51.74,0,0.0,0.0,17982,37.25,37.25,1301,2.7,2.7,2578,5.34,5.34
196,"State House District 196 (2024), Pennsylvania",620L900US42196,66758,53545,65948,52765,52765,985,2020-2024 ACS CVAP,39,0.07,0.07,909,1.72,1.72,1677,3.18,3.18,1,0.0,0.0,45870,86.93,86.93,796,1.51,1.51,3479,6.59,6.59
197,"State House District 197 (2024), Pennsylvania",620L900US42197,61891,45911,57236,41744,41744,2902,2020-2024 ACS CVAP,11,0.03,0.03,1458,3.49,3.49,11749,28.15,28.15,3,0.01,0.01,4152,9.95,9.95,547,1.31,1.31,23832,57.09,57.09
198,"State House District 198 (2024), Pennsylvania",620L900US42198,66056,51165,62171,47879,47879,2368,2020-2024 ACS CVAP,67,0.14,0.14,1876,3.92,3.92,37299,77.9,77.9,0,0.0,0.0,4203,8.78,8.78,1531,3.2,3.2,2915,6.09,6.09
199,"State House District 199 (2024), Pennsylvania",620L900US42199,66573,54369,64505,52503,52503,856,2020-2024 ACS CVAP,24,0.05,0.05,710,1.35,1.35,1889,3.6,3.6,0,0.0,0.0,46878,89.29,89.29,898,1.71,1.71,2111,4.02,4.02
200,"State House District 200 (2024), Pennsylvania",620L900US42200,67598,53973,65872,52367,52367,2474,2020-2024 ACS CVAP,132,0.25,0.25,445,0.85,0.85,38201,72.95,72.95,7,0.01,0.01,10625,20.29,20.29,1356,2.59,2.59,1596,3.05,3.05
201,"State House District 201 (2024), Pennsylvania",620L900US42201,71781,55039,69507,53075,53075,2431,2020-2024 ACS CVAP,67,0.13,0.13,318,0.6,0.6,42368,79.83,79.83,6,0.01,0.01,6850,12.91,12.91,1438,2.71,2.71,2019,3.8,3.8
202,"State House District 202 (2024), Pennsylvania",620L900US42202,59900,44470,48061,34209,34209,2117,2020-2024 ACS CVAP,112,0.33,0.33,5438,15.9,15.9,7961,23.27,23.27,23,0.07,0.07,12451,36.4,36.4,437,1.28,1.28,7782,22.75,22.75
203,"State House District 203 (2024), Pennsylvania",620L900US42203,64862,46507,56589,39547,39547,2134,2020-2024 ACS CVAP,84,0.21,0.21,3935,9.95,9.95,18897,47.78,47.78,1,0.0,0.0,8336,21.08,21.08,954,2.41,2.41,7350,18.59,18.59
