district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
32,"State Senate District 32 (2024), Pennsylvania",610U900US42032,250673,203064,249151,201584,201584,312,2020-2024 ACS CVAP,71,0.04,0.04,612,0.3,0.3,5991,2.97,2.97,53,0.03,0.03,190177,94.34,94.34,2590,1.28,1.28,2089,1.04,1.04
33,"State Senate District 33 (2024), Pennsylvania",610U900US42033,263494,208301,258105,203386,203386,495,2020-2024 ACS CVAP,50,0.02,0.02,1233,0.61,0.61,4718,2.32,2.32,6,0.0,0.0,184531,90.73,90.73,3248,1.6,1.6,9602,4.72,4.72
34,"State Senate District 34 (2024), Pennsylvania",610U900US42034,273549,215919,265229,208677,208677,1110,2020-2024 ACS CVAP,64,0.03,0.03,6266,3.0,3.0,5139,2.46,2.46,10,0.0,0.0,186790,89.51,89.51,4073,1.95,1.95,6323,3.03,3.03
35,"State Senate District 35 (2024), Pennsylvania",610U900US42035,257727,210333,252118,205054,205054,699,2020-2024 ACS CVAP,168,0.08,0.08,2180,1.06,1.06,4860,2.37,2.37,33,0.02,0.02,190166,92.74,92.74,3571,1.74,1.74,4082,1.99,1.99
36,"State Senate District 36 (2024), Pennsylvania",610U900US42036,271387,212881,266564,208584,208584,1538,2020-2024 ACS CVAP,116,0.06,0.06,4850,2.33,2.33,4095,1.96,1.96,5,0.0,0.0,183326,87.89,87.89,3350,1.61,1.61,12844,6.16,6.16
37,"State Senate District 37 (2024), Pennsylvania",610U900US42037,246284,194551,238691,188328,188328,1884,2020-2024 ACS CVAP,89,0.05,0.05,6574,3.49,3.49,4981,2.64,2.64,12,0.01,0.01,170901,90.75,90.75,2644,1.4,1.4,3127,1.66,1.66
38,"State Senate District 38 (2024), Pennsylvania",610U900US42038,249270,199841,242619,193796,193796,1853,2020-2024 ACS CVAP,15,0.01,0.01,3521,1.82,1.82,11837,6.11,6.11,51,0.03,0.03,171861,88.68,88.68,2924,1.51,1.51,3590,1.85,1.85
39,"State Senate District 39 (2024), Pennsylvania",610U900US42039,260648,213417,258932,211888,211888,977,2020-2024 ACS CVAP,60,0.03,0.03,1760,0.83,0.83,3937,1.86,1.86,8,0.0,0.0,201051,94.89,94.89,2588,1.22,1.22,2485,1.17,1.17
40,"State Senate District 40 (2024), Pennsylvania",610U900US42040,256302,207466,250633,202135,202135,1052,2020-2024 ACS CVAP,267,0.13,0.13,3221,1.59,1.59,19179,9.49,9.49,116,0.06,0.06,152943,75.66,75.66,3854,1.91,1.91,22558,11.16,11.16
41,"State Senate District 41 (2024), Pennsylvania",610U900US42041,252247,205289,250249,203556,203556,1104,2020-2024 ACS CVAP,33,0.02,0.02,824,0.4,0.4,4478,2.2,2.2,12,0.01,0.01,193348,94.99,94.99,2358,1.16,1.16,2506,1.23,1.23
42,"State Senate District 42 (2024), Pennsylvania",610U900US42042,248402,206448,239088,198284,198284,2174,2020-2024 ACS CVAP,161,0.08,0.08,3447,1.74,1.74,25698,12.96,12.96,28,0.01,0.01,159727,80.55,80.55,4623,2.33,2.33,4603,2.32,2.32
43,"State Senate District 43 (2024), Pennsylvania",610U900US42043,248831,209316,236137,197450,197450,2200,2020-2024 ACS CVAP,113,0.06,0.06,7189,3.64,3.64,44575,22.58,22.58,69,0.03,0.03,132417,67.06,67.06,5903,2.99,2.99,7187,3.64,3.64
44,"State Senate District 44 (2024), Pennsylvania",610U900US42044,271260,210787,259398,200239,200239,1605,2020-2024 ACS CVAP,74,0.04,0.04,9842,4.92,4.92,8424,4.21,4.21,69,0.03,0.03,169513,84.66,84.66,3740,1.87,1.87,8574,4.28,4.28
45,"State Senate District 45 (2024), Pennsylvania",610U900US42045,245397,197789,240887,193954,193954,1900,2020-2024 ACS CVAP,75,0.04,0.04,3267,1.68,1.68,25921,13.36,13.36,3,0.0,0.0,156574,80.73,80.73,4649,2.4,2.4,3473,1.79,1.79
46,"State Senate District 46 (2024), Pennsylvania",610U900US42046,250408,201468,248004,199252,199252,470,2020-2024 ACS CVAP,18,0.01,0.01,1590,0.8,0.8,5876,2.95,2.95,5,0.0,0.0,186073,93.39,93.39,2930,1.47,1.47,2762,1.39,1.39
47,"State Senate District 47 (2024), Pennsylvania",610U900US42047,257131,205653,254356,203051,203051,788,2020-2024 ACS CVAP,56,0.03,0.03,1336,0.66,0.66,8298,4.09,4.09,8,0.0,0.0,186992,92.09,92.09,2849,1.4,1.4,3507,1.73,1.73
48,"State Senate District 48 (2024), Pennsylvania",610U900US42048,271575,210939,268153,207938,207938,1294,2020-2024 ACS CVAP,74,0.04,0.04,2109,1.01,1.01,3642,1.75,1.75,18,0.01,0.01,181813,87.44,87.44,2451,1.18,1.18,17837,8.58,8.58
49,"State Senate District 49 (2024), Pennsylvania",610U900US42049,260197,206493,254355,201923,201923,657,2020-2024 ACS CVAP,193,0.1,0.1,2194,1.09,1.09,12931,6.4,6.4,2,0.0,0.0,175753,87.04,87.04,3586,1.78,1.78,7257,3.59,3.59
50,"State Senate District 50 (2024), Pennsylvania",610U900US42050,261612,209633,260303,208425,208425,466,2020-2024 ACS CVAP,103,0.05,0.05,697,0.33,0.33,7407,3.55,3.55,37,0.02,0.02,194178,93.16,93.16,3311,1.59,1.59,2697,1.29,1.29
